"Neighbourhood","Neighbourhood Id","Combined Indicators","Pop 15 - 19 years","Pop 20 - 24 years","Pop 25 - 29 years","Youth 15-24","After-Tax Household Income","Vehicle Thefts","Thefts","Robberies","   South Asian","Total Population"
"Wexford/Maryvale",119.0,"N/A",1670.0,1980.0,1840.0,3650.0,53752.0,40.0,11.0,21.0,4195.0,27917.0
"Clairlea-Birchmount",120.0,"N/A",1710.0,1785.0,1805.0,3495.0,53716.0,48.0,16.0,30.0,6140.0,26984.0
"Oakridge",121.0,"N/A",880.0,800.0,845.0,1680.0,32079.0,11.0,10.0,25.0,4800.0,13845.0
"Birchcliffe-Cliffside",122.0,"N/A",1145.0,1295.0,1085.0,2440.0,57017.0,16.0,6.0,19.0,1405.0,22291.0
"Cliffcrest",123.0,"N/A",1100.0,1045.0,810.0,2145.0,60384.0,10.0,3.0,18.0,3000.0,15935.0
"Kennedy Park",124.0,"N/A",1065.0,1110.0,1115.0,2175.0,41776.0,11.0,4.0,27.0,4165.0,17123.0
"Ionview",125.0,"N/A",755.0,890.0,1045.0,1645.0,42971.0,5.0,4.0,8.0,3730.0,13641.0
"Dorset Park",126.0,"N/A",1480.0,1675.0,1590.0,3155.0,47630.0,45.0,13.0,41.0,7245.0,25003.0
"Bendale",127.0,"N/A",1845.0,2760.0,2295.0,4605.0,51254.0,46.0,12.0,55.0,8305.0,29960.0
"Agincourt South-Malvern West",128.0,"N/A",1470.0,1890.0,2020.0,3360.0,53886.0,26.0,11.0,18.0,4190.0,23757.0
"Agincourt North",129.0,"N/A",1705.0,2000.0,2020.0,3705.0,55893.0,16.0,4.0,12.0,5315.0,29113.0
"Milliken",130.0,"N/A",1380.0,1815.0,2155.0,3195.0,55464.0,34.0,11.0,25.0,3080.0,26572.0
"Rouge",131.0,"N/A",3265.0,3435.0,3180.0,6700.0,72784.0,19.0,12.0,29.0,20175.0,46496.0
"Malvern",132.0,"N/A",3170.0,3450.0,3210.0,6620.0,53425.0,36.0,7.0,54.0,17465.0,43794.0
"Centennial Scarborough",133.0,"N/A",940.0,910.0,715.0,1850.0,86816.0,5.0,1.0,11.0,2475.0,13362.0
"Highland Creek",134.0,"N/A",815.0,1110.0,935.0,1925.0,87321.0,8.0,1.0,7.0,4515.0,12494.0
"Morningside",135.0,"N/A",1165.0,1525.0,1320.0,2690.0,50069.0,13.0,0.0,12.0,5155.0,17455.0
"West Hill",136.0,"N/A",1965.0,1985.0,1760.0,3950.0,46803.0,14.0,7.0,56.0,5060.0,27392.0
"Woburn",137.0,"N/A",3400.0,4260.0,4060.0,7660.0,47908.0,31.0,16.0,58.0,21545.0,53485.0
"Eglinton East",138.0,"N/A",1585.0,1545.0,1450.0,3130.0,42790.0,22.0,6.0,32.0,6490.0,22776.0
"Scarborough Village",139.0,"N/A",1140.0,1220.0,1055.0,2360.0,40181.0,9.0,2.0,22.0,5520.0,16724.0
"Guildwood",140.0,"N/A",540.0,525.0,415.0,1065.0,67678.0,4.0,1.0,8.0,815.0,9917.0
